num_mp,num_canton,num_prod,age,gen,num_tab_mort,chgt_enc,ind_chgt_enc_pos,pm_fin,nb_contr_fin,anc,terme,type_cot,periode_cot,tx_cible,chgt_prime,prime,tx_tech,terme_tx_tech,tmg,terme_tmg,num_rach_tot,num_rach_part,num_rach_dyn_tot,num_rach_dyn_part,chgt_rach,pm_gar,tx_revalo_prec,tx_cible_prec,t,uuid,pm_deb,nb_contr,coef_inf,tx_frais_fixe_prime,tx_frais_var_prime,ind_inf_frais_fixe_prime,ind_inf_frais_var_prime,tx_frais_fixe_prest,tx_frais_var_prest,ind_inf_frais_fixe_prest,ind_inf_frais_var_prest,tx_frais_fixe_enc,tx_frais_var_enc,ind_inf_frais_fixe_enc,ind_inf_frais_var_enc,nb_vers,pri_brut,pri_net,pri_chgt,ind_ech,nb_ech,tx_tech_an,tx_tech_se,tx_an,tx_se,ech,rev_ech,qx_rach_tot_dyn,qx_rach_part_dyn,qx_rach_tot,qx_rach_part,qx_rach_tot_glob,nb_rach_tot,rach_tot,rev_rach_tot,qx_dc,qx_dc_rach,dc,rev_dc,nb_dc,qx_rach_part_glob,rach_part,rev_rach_part,prest,rev_prest,nb_sortie,nb_contr_moy,enc_charg,rev_prest_nette,tx_soc,rach_charg,soc_prest,it_tech_prest,diff_pm_prest,rev_stock_brut,enc_charg_stock,enc_charg_base_th,enc_charg_rmin_th,base_enc_th,rev_stock_nette,soc_stock,pm_moy,it_tech_stock,it_tech,tx_cible_an,tx_cible_se,bes_tx_cible
1,1,1,39,1900,TM1,0.039,False,113389.1112,1.0,0,50,type2,an,Meth1,0.025,0,0,1,0.022000000000000002,1,TRT1,TRP1,PRCT1,PRCP1,0.013999999999999999,113389.1112,0.049,0.049,0,a4881615-7127-4023-babd-4d0b3e9b0587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,31,1900,TM2,0.03,False,233672.2138,1.0,0,50,type2,an,Meth1,0.024,0,0,1,0.024,1,TRT1,TRP1,PRCT1,PRCP1,0.037000000000000005,233672.2138,0.035,0.035,0,5b4a92af-62a8-421d-b444-8c064d5efc4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,36,1900,TM2,0.043,False,287045.6784,1.0,0,50,type2,an,Meth1,0.019,0,0,1,0.015,1,TRT1,TRP1,PRCT1,PRCP1,0.013000000000000001,287045.6784,0.021,0.021,0,adaf93f4-b04a-4a2b-83d9-ccd39fb72844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,39,1900,TM2,0.049,False,117417.4249,1.0,0,50,type2,an,Meth1,0.037000000000000005,0,0,1,0.05,1,TRT1,TRP1,PRCT1,PRCP1,0.039,117417.4249,0.040999999999999995,0.040999999999999995,0,934ccdba-6eba-4cf3-abc0-b9adeeb48ee6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,2,1900,TM2,0.047,True,243375.9414,1.0,0,50,type2,an,Meth1,0.05,0,0,1,0.043,1,TRT1,TRP1,PRCT1,PRCP1,0.016,243375.9414,0.047,0.047,0,e913aac7-e64e-4186-981f-1464d3655e8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,20,1900,TM1,0.043,False,198283.7158,1.0,0,50,type2,an,Meth1,0.037000000000000005,0,0,1,0.042,1,TRT1,TRP1,PRCT1,PRCP1,0.018000000000000002,198283.7158,0.040999999999999995,0.040999999999999995,0,18bd10f6-8196-4bd2-80fa-3ffd5d051445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,41,1900,TM1,0.046,False,39170.95972,1.0,0,50,type2,an,Meth1,0.027999999999999997,0,0,1,0.057,1,TRT1,TRP1,PRCT1,PRCP1,0.017,39170.95972,0.031,0.031,0,a52e20c5-74c1-4cb5-be8e-613b3013f983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,1,66,1900,TM2,0.035,True,123902.2193,1.0,0,50,type2,an,Meth1,0.012,0,0,1,0.037000000000000005,1,TRT1,TRP1,PRCT1,PRCP1,0.027000000000000003,123902.2193,0.048,0.048,0,337d4181-36f3-48ba-a235-46b737b9c64e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,30,1900,TM2,0.043,False,209354.8003,1.0,0,50,type2,an,Meth1,0.016,0,0,1,0.023,1,TRT1,TRP1,PRCT1,PRCP1,0.013999999999999999,209354.8003,0.048,0.048,0,c12c3ca0-c559-4036-97f2-d849a997369b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,9,1900,TM1,0.044000000000000004,False,43129.39629,1.0,0,50,type2,an,Meth1,0.024,0,0,1,0.03,1,TRT1,TRP1,PRCT1,PRCP1,0.021,43129.39629,0.016,0.016,0,4e594128-4b32-46ed-b42f-e36f63d4814d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
